id;hashcode;timemodified;questionid;slot;subquestion;variant;s;effectiveweight;negcovar;discriminationindex;discriminativeefficiency;sd;facility;subquestions;maxmark;positions;randomguessscore
908;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941648;20;1;"0";;73;4.03012;"0";38.28559;42.35385;"0.2566550111";"0.6073058753";"";"1.0000000";1;
909;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941648;1;2;"0";;73;"5.53130";"0";"34.51480";41.37362;"0.4677580194";"0.6849315068";"";"1.0000000";2;"0.2500000"
910;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;2;3;"0";;73;5.51042;"0";35.76499;"44.06730";"0.4558097817";"0.7123287671";"";"1.0000000";3;"0.5000000"
911;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;4;4;"0";;73;5.17194;"0";51.49905;58.24478;"0.3231904266";"0.4406392781";"";"1.0000000";4;
912;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;5;5;"0";;73;3.87569;"0";39.31581;64.14334;"0.2348936739";"0.9383561644";"";"1.0000000";5;
913;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;9;6;"0";;73;4.28871;"0";40.20202;62.82346;"0.2765574412";"0.9178082192";"";"1.0000000";6;"0.5000000"
914;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;10;7;"0";;73;5.39469;"0";66.32201;71.01322;"0.2884278753";"0.6061643836";"";"1.0000000";7;
915;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;6;8;"0";;73;5.08882;"0";43.74863;"47.94230";"0.3519352888";"0.5054794521";"";"1.0000000";8;
916;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;17;9;"0";;73;5.79761;"0";73.04824;78.11124;"0.3063027049";"0.6130136986";"";"1.0000000";9;
917;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;11;10;"0";;73;5.28654;"0";"64.38880";72.49432;"0.2841915554";"0.8082191781";"";"1.0000000";10;
918;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;14;11;"0";;73;"4.78560";"0";58.47807;67.83136;"0.2545044639";"0.5205478932";"";"1.0000000";11;
919;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;19;12;"0";;73;4.99819;"0";54.81774;57.95288;"0.2899902901";"0.7397260274";"";"1.0000000";12;
920;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;15;13;"0";;73;4.82733;"0";52.08093;62.28337;"0.2828494391";"0.6164383562";"";"1.0000000";13;
921;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;13;14;"0";;73;"5.19830";"0";62.08522;67.14563;"0.2833534493";"0.6118720849";"";"1.0000000";14;
922;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;12;15;"0";;73;5.66634;"0";73.42693;78.37054;"0.2919926424";"0.6198630137";"";"1.0000000";15;
923;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;16;16;"0";;73;5.71343;"0";74.56899;79.61756;"0.2929999717";"0.5456621795";"";"1.0000000";16;
924;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;8;17;"0";;73;4.82057;"0";55.60575;"68.39630";"0.2683522640";"0.6780821918";"";"1.0000000";17;
925;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;3;18;"0";;73;4.35572;"0";44.72219;47.40806;"0.2631367996";"0.4897260205";"";"1.0000000";18;
926;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;7;19;"0";;73;4.59875;"0";47.27521;50.73157;"0.2784523514";"0.6769405699";"";"1.0000000";19;
927;b441fd04c486a59f671bc8ce193be3acf87e8aed;1666941649;18;20;"0";;73;5.05991;"0";55.28139;62.90525;"0.2947085344";"0.8150684932";"";"1.0000000";20;
928;1afcbec028f7ca4b759200c2b2aa39303f30bdba;1666943715;20;1;"0";;117;13.12841;"0";45.85704;50.86811;"0.2915955792";"0.6324785692";"";"1.0000000";1;
929;1afcbec028f7ca4b759200c2b2aa39303f30bdba;1666943715;3;2;"0";;117;11.78238;"0";41.99619;44.41841;"0.2558165909";"0.3774928658";"";"1.0000000";2;
930;1afcbec028f7ca4b759200c2b2aa39303f30bdba;1666943715;5;3;"0";;117;8.39364;"0";4.40639;7.60669;"0.2879723724";"0.9017094017";"";"1.0000000";3;
931;1afcbec028f7ca4b759200c2b2aa39303f30bdba;1666943715;6;4;"0";;117;12.47354;"0";"28.21850";32.52711;"0.3277696603";"0.2777777778";"";"1.0000000";4;
932;1afcbec028f7ca4b759200c2b2aa39303f30bdba;1666943715;10;5;"0";;117;13.17953;"0";50.46828;52.85742;"0.2801420895";"0.5534188034";"";"1.0000000";5;
933;1afcbec028f7ca4b759200c2b2aa39303f30bdba;1666943715;12;6;"0";;117;12.66673;"0";"49.50120";"53.46250";"0.2649695944";"0.5192307692";"";"1.0000000";6;
934;1afcbec028f7ca4b759200c2b2aa39303f30bdba;1666943716;16;7;"0";;117;13.26026;"0";60.88883;64.09281;"0.2561104768";"0.4344730128";"";"1.0000000";7;
935;1afcbec028f7ca4b759200c2b2aa39303f30bdba;1666943716;18;8;"0";;117;15.11551;"0";55.89644;65.00561;"0.3344917977";"0.6965811966";"";"1.0000000";8;
