id;contextid;component;preferredbehaviour
10078;41;mod_quiz;deferredfeedback
10136;41;mod_quiz;deferredfeedback
10187;55;mod_quiz;deferredfeedback
10278;41;mod_quiz;deferredfeedback
10323;41;mod_quiz;deferredfeedback
10382;41;mod_quiz;deferredfeedback
10482;41;mod_quiz;deferredfeedback
10545;55;mod_quiz;deferredfeedback
10631;41;mod_quiz;deferredfeedback
10677;55;mod_quiz;deferredfeedback
10678;41;mod_quiz;deferredfeedback
10679;41;mod_quiz;deferredfeedback
10727;41;mod_quiz;deferredfeedback
10734;41;mod_quiz;deferredfeedback
10753;41;mod_quiz;deferredfeedback
10754;41;mod_quiz;deferredfeedback
10756;41;mod_quiz;deferredfeedback
10763;41;mod_quiz;deferredfeedback
10770;41;mod_quiz;deferredfeedback
10877;41;mod_quiz;deferredfeedback
10886;41;mod_quiz;deferredfeedback
10888;41;mod_quiz;deferredfeedback
10915;41;mod_quiz;deferredfeedback
11138;41;mod_quiz;deferredfeedback
11152;41;mod_quiz;deferredfeedback
11153;55;mod_quiz;deferredfeedback
11208;41;mod_quiz;deferredfeedback
11210;41;mod_quiz;deferredfeedback
11283;41;mod_quiz;deferredfeedback
11291;55;mod_quiz;deferredfeedback
11334;41;mod_quiz;deferredfeedback
11399;41;mod_quiz;deferredfeedback
11404;55;mod_quiz;deferredfeedback
11440;41;mod_quiz;deferredfeedback
11516;41;mod_quiz;deferredfeedback
11550;55;mod_quiz;deferredfeedback
11612;41;mod_quiz;deferredfeedback
11623;41;mod_quiz;deferredfeedback
11747;55;mod_quiz;deferredfeedback
11794;41;mod_quiz;deferredfeedback
11796;41;mod_quiz;deferredfeedback
11848;41;mod_quiz;deferredfeedback
11978;41;mod_quiz;deferredfeedback
12076;55;mod_quiz;deferredfeedback
12140;41;mod_quiz;deferredfeedback
12146;41;mod_quiz;deferredfeedback
12206;41;mod_quiz;deferredfeedback
12214;55;mod_quiz;deferredfeedback
12215;55;mod_quiz;deferredfeedback
12322;41;mod_quiz;deferredfeedback
12323;41;mod_quiz;deferredfeedback
12330;55;mod_quiz;deferredfeedback
12452;41;mod_quiz;deferredfeedback
12457;41;mod_quiz;deferredfeedback
12498;41;mod_quiz;deferredfeedback
12501;55;mod_quiz;deferredfeedback
12503;41;mod_quiz;deferredfeedback
12504;41;mod_quiz;deferredfeedback
12506;41;mod_quiz;deferredfeedback
12511;55;mod_quiz;deferredfeedback
12737;41;mod_quiz;deferredfeedback
12738;55;mod_quiz;deferredfeedback
12813;41;mod_quiz;deferredfeedback
12880;41;mod_quiz;deferredfeedback
12935;41;mod_quiz;deferredfeedback
12939;41;mod_quiz;deferredfeedback
12940;55;mod_quiz;deferredfeedback
12996;41;mod_quiz;deferredfeedback
12999;41;mod_quiz;deferredfeedback
13020;41;mod_quiz;deferredfeedback
13021;41;mod_quiz;deferredfeedback
13080;41;mod_quiz;deferredfeedback
13149;55;mod_quiz;deferredfeedback
13151;41;mod_quiz;deferredfeedback
13194;55;mod_quiz;deferredfeedback
13199;41;mod_quiz;deferredfeedback
13208;41;mod_quiz;deferredfeedback
13227;41;mod_quiz;deferredfeedback
13230;41;mod_quiz;deferredfeedback
13370;41;mod_quiz;deferredfeedback
13371;41;mod_quiz;deferredfeedback
13378;41;mod_quiz;deferredfeedback
13379;41;mod_quiz;deferredfeedback
13446;41;mod_quiz;deferredfeedback
13539;41;mod_quiz;deferredfeedback
13570;55;mod_quiz;deferredfeedback
13584;41;mod_quiz;deferredfeedback
13606;55;mod_quiz;deferredfeedback
13663;41;mod_quiz;deferredfeedback
13786;41;mod_quiz;deferredfeedback
13934;55;mod_quiz;deferredfeedback
13946;55;mod_quiz;deferredfeedback
13960;55;mod_quiz;deferredfeedback
13961;41;mod_quiz;deferredfeedback
14024;41;mod_quiz;deferredfeedback
14028;41;mod_quiz;deferredfeedback
14242;41;mod_quiz;deferredfeedback
14248;55;mod_quiz;deferredfeedback
14297;55;mod_quiz;deferredfeedback
14301;41;mod_quiz;deferredfeedback
14355;55;mod_quiz;deferredfeedback
14364;55;mod_quiz;deferredfeedback
14426;41;mod_quiz;deferredfeedback
14431;41;mod_quiz;deferredfeedback
14435;41;mod_quiz;deferredfeedback
14436;41;mod_quiz;deferredfeedback
14517;41;mod_quiz;deferredfeedback
14617;55;mod_quiz;deferredfeedback
14618;41;mod_quiz;deferredfeedback
14679;41;mod_quiz;deferredfeedback
14756;55;mod_quiz;deferredfeedback
14763;41;mod_quiz;deferredfeedback
14770;55;mod_quiz;deferredfeedback
14833;41;mod_quiz;deferredfeedback
14855;55;mod_quiz;deferredfeedback
14856;41;mod_quiz;deferredfeedback
14857;41;mod_quiz;deferredfeedback
14993;55;mod_quiz;deferredfeedback
14994;41;mod_quiz;deferredfeedback
15075;55;mod_quiz;deferredfeedback
15076;41;mod_quiz;deferredfeedback
15159;55;mod_quiz;deferredfeedback
15160;41;mod_quiz;deferredfeedback
15269;55;mod_quiz;deferredfeedback
15270;41;mod_quiz;deferredfeedback
15271;41;mod_quiz;deferredfeedback
15272;41;mod_quiz;deferredfeedback
15346;41;mod_quiz;deferredfeedback
15433;41;mod_quiz;deferredfeedback
15494;55;mod_quiz;deferredfeedback
15498;41;mod_quiz;deferredfeedback
15595;55;mod_quiz;deferredfeedback
15646;41;mod_quiz;deferredfeedback
15712;55;mod_quiz;deferredfeedback
15844;41;mod_quiz;deferredfeedback
15907;41;mod_quiz;deferredfeedback
15938;41;mod_quiz;deferredfeedback
15939;41;mod_quiz;deferredfeedback
15940;41;mod_quiz;deferredfeedback
16152;41;mod_quiz;deferredfeedback
16222;55;mod_quiz;deferredfeedback
16234;41;mod_quiz;deferredfeedback
16318;55;mod_quiz;deferredfeedback
16325;55;mod_quiz;deferredfeedback
16326;41;mod_quiz;deferredfeedback
16451;41;mod_quiz;deferredfeedback
16452;41;mod_quiz;deferredfeedback
16505;41;mod_quiz;deferredfeedback
16506;41;mod_quiz;deferredfeedback
16600;55;mod_quiz;deferredfeedback
16601;41;mod_quiz;deferredfeedback
16602;41;mod_quiz;deferredfeedback
16716;55;mod_quiz;deferredfeedback
16821;41;mod_quiz;deferredfeedback
16822;55;mod_quiz;deferredfeedback
16907;55;mod_quiz;deferredfeedback
16908;41;mod_quiz;deferredfeedback
16909;41;mod_quiz;deferredfeedback
16981;55;mod_quiz;deferredfeedback
16982;41;mod_quiz;deferredfeedback
17047;41;mod_quiz;deferredfeedback
17126;41;mod_quiz;deferredfeedback
17201;55;mod_quiz;deferredfeedback
17252;55;mod_quiz;deferredfeedback
17253;41;mod_quiz;deferredfeedback
17326;41;mod_quiz;deferredfeedback
17407;41;mod_quiz;deferredfeedback
17449;41;mod_quiz;deferredfeedback
17506;55;mod_quiz;deferredfeedback
17507;41;mod_quiz;deferredfeedback
17593;55;mod_quiz;deferredfeedback
17594;41;mod_quiz;deferredfeedback
17707;41;mod_quiz;deferredfeedback
17821;55;mod_quiz;deferredfeedback
17822;41;mod_quiz;deferredfeedback
17823;41;mod_quiz;deferredfeedback
17881;55;mod_quiz;deferredfeedback
17962;41;mod_quiz;deferredfeedback
18042;41;mod_quiz;deferredfeedback
18142;55;mod_quiz;deferredfeedback
18229;55;mod_quiz;deferredfeedback
18230;41;mod_quiz;deferredfeedback
18338;41;mod_quiz;deferredfeedback
18448;55;mod_quiz;deferredfeedback
18449;41;mod_quiz;deferredfeedback
18553;55;mod_quiz;deferredfeedback
18554;41;mod_quiz;deferredfeedback
18627;55;mod_quiz;deferredfeedback
18628;41;mod_quiz;deferredfeedback
18702;55;mod_quiz;deferredfeedback
18703;41;mod_quiz;deferredfeedback
18704;41;mod_quiz;deferredfeedback
18820;55;mod_quiz;deferredfeedback
18821;41;mod_quiz;deferredfeedback
18870;41;mod_quiz;deferredfeedback
18910;55;mod_quiz;deferredfeedback
18911;41;mod_quiz;deferredfeedback
18988;41;mod_quiz;deferredfeedback
18989;41;mod_quiz;deferredfeedback
19042;41;mod_quiz;deferredfeedback
19089;55;mod_quiz;deferredfeedback
19090;41;mod_quiz;deferredfeedback
19151;55;mod_quiz;deferredfeedback
19152;41;mod_quiz;deferredfeedback
19194;41;mod_quiz;deferredfeedback
19304;55;mod_quiz;deferredfeedback
19361;55;mod_quiz;deferredfeedback
19362;41;mod_quiz;deferredfeedback
19363;41;mod_quiz;deferredfeedback
19459;55;mod_quiz;deferredfeedback
19460;41;mod_quiz;deferredfeedback
19530;55;mod_quiz;deferredfeedback
19531;41;mod_quiz;deferredfeedback
19600;55;mod_quiz;deferredfeedback
19601;41;mod_quiz;deferredfeedback
19678;55;mod_quiz;deferredfeedback
19679;41;mod_quiz;deferredfeedback
19770;55;mod_quiz;deferredfeedback
19771;41;mod_quiz;deferredfeedback
19844;41;mod_quiz;deferredfeedback
19905;55;mod_quiz;deferredfeedback
19906;41;mod_quiz;deferredfeedback
20035;41;mod_quiz;deferredfeedback
20036;41;mod_quiz;deferredfeedback
20037;41;mod_quiz;deferredfeedback
20038;41;mod_quiz;deferredfeedback
20182;55;mod_quiz;deferredfeedback
20203;41;mod_quiz;deferredfeedback
20204;41;mod_quiz;deferredfeedback
20256;55;mod_quiz;deferredfeedback
20257;41;mod_quiz;deferredfeedback
