id;response_id;question_id;choice_id
58;20;4;8
59;20;5;15
60;20;6;20
61;21;4;10
62;21;5;15
63;21;6;23
64;22;4;9
65;22;5;14
66;22;6;22
67;23;4;9
68;23;5;14
69;23;6;24
70;24;4;10
71;24;5;15
72;24;6;24
73;25;4;7
74;25;5;14
75;25;6;26
76;26;4;10
77;26;5;15
78;26;6;24
79;27;4;11
80;27;5;15
81;27;6;20
82;28;4;9
83;28;5;14
84;28;6;21
85;29;4;13
86;29;5;14
87;29;6;21
88;30;4;13
89;30;5;14
90;30;6;21
91;31;4;11
92;31;5;14
93;31;6;27
94;32;4;10
95;32;5;15
96;32;6;23
97;33;4;12
98;33;5;14
99;33;6;21
100;34;4;11
101;34;5;14
102;34;6;25
103;35;4;13
104;35;5;15
105;35;6;21
106;36;4;13
107;36;5;14
108;36;6;21
109;37;4;11
110;37;5;14
111;37;6;21
112;38;4;10
113;38;5;14
114;38;6;25
115;39;4;12
116;39;5;15
117;39;6;20
118;40;4;11
119;40;5;15
120;40;6;27
121;41;4;11
122;41;5;14
123;41;6;24
124;42;4;9
125;42;5;15
126;42;6;21
127;43;4;10
128;43;5;14
129;43;6;23
130;44;4;10
131;44;5;14
132;44;6;23
133;45;4;11
134;45;5;15
135;45;6;20
136;46;4;11
137;46;5;14
138;46;6;25
139;47;4;13
140;47;5;15
141;47;6;23
142;48;4;13
143;48;5;15
144;48;6;21
145;49;4;12
146;49;5;15
147;49;6;20
148;50;4;9
149;50;5;14
150;50;6;20
151;51;4;13
152;51;5;15
153;51;6;25
154;52;4;9
155;52;5;15
156;52;6;24
157;53;4;11
158;53;5;15
159;53;6;25
160;54;4;11
161;54;5;15
162;54;6;24
163;55;4;9
164;55;5;14
165;55;6;20
166;56;4;10
167;56;5;15
168;56;6;24
169;57;4;12
170;57;5;14
171;57;6;20
172;58;4;10
173;58;5;15
174;58;6;22
175;59;4;10
176;59;5;14
177;59;6;24
178;60;4;11
179;60;5;15
180;60;6;26
181;61;4;12
182;61;5;14
183;61;6;19
184;62;4;11
185;62;5;14
186;62;6;26
187;63;4;11
188;63;5;15
189;63;6;27
190;64;4;12
191;64;5;14
192;64;6;21
193;65;4;13
194;65;5;14
195;65;6;25
196;66;4;9
197;66;5;14
198;66;6;22
199;67;4;12
200;67;5;14
201;67;6;22
202;68;4;12
203;68;5;14
204;68;6;25
205;69;4;10
206;69;5;15
207;69;6;26
