id;quiz;userid;attempt;uniqueid;layout;currentpage;preview;state;timestart;timefinish;timemodified;timemodifiedoffline;timecheckstate;sumgrades
42;1;2;1;10078;"1,2,3,4,5,6,7,8,0";"0";1;inprogress;1664895349;"0";1665996205;"0";;
44;1;72;1;10136;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1665059043;1665059060;1665059060;"0";;3.88333
45;2;72;1;10187;"17,11,3,20,6,7,16,8,9,5,12,10,19,13,2,15,18,4,14,1,0";"0";"0";finished;1665059129;1665059163;1665059163;"0";;6.03333
46;1;74;1;10278;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1665142156;1665142346;1665142346;"0";;"2.75000"
47;1;75;1;10323;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1665148916;1665149932;1665149932;"0";;5.33333
48;1;76;1;10382;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1665153244;1665153507;1665153507;"0";;3.33333
49;1;78;1;10482;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1665336071;1665336403;1665336403;"0";;5.41667
50;2;2;1;10545;"12,15,4,20,7,3,19,18,13,8,6,14,10,17,1,5,9,11,16,2,0";"0";1;inprogress;1665411400;"0";1665411400;"0";;
51;1;87;1;10631;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1665741623;1665741630;1665741630;"0";;"0.00000"
52;2;87;1;10677;"13,14,3,8,1,6,18,10,2,4,9,15,12,7,5,20,11,16,17,19,0";"0";"0";finished;1665741665;1665741678;1665741678;"0";;"0.00000"
53;1;91;1;10678;"1,2,3,4,5,6,7,8,0";"0";"0";inprogress;1666021515;"0";1666021515;"0";;
54;1;111;1;10679;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666246465;1666246732;1666246732;"0";;"4.55000"
55;1;133;1;10727;"1,2,3,4,5,6,7,8,0";"0";"0";inprogress;1666247095;"0";1666247095;"0";;
56;1;135;1;10734;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666247187;1666247552;1666247552;"0";;"5.75000"
57;1;137;1;10753;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666247299;1666247541;1666247541;"0";;6.16667
58;1;138;1;10754;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666247321;1666247817;1666247817;"0";;3.33333
59;1;139;1;10756;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666247330;1666247487;1666247487;"0";;4.33333
60;1;140;1;10763;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666247424;1666252651;1666252651;"0";;5.08333
61;1;143;1;10770;"1,2,3,4,5,6,7,8,0";"0";"0";inprogress;1666247490;"0";1666247490;"0";;
62;1;147;1;10877;"1,2,3,4,5,6,7,8,0";"0";"0";inprogress;1666247635;"0";1666247643;"0";;
63;1;149;1;10886;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666247762;1666247922;1666247922;"0";;"5.85000"
64;1;148;1;10888;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666247774;1666248090;1666248090;"0";;"3.00000"
65;1;150;1;10915;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666247934;1666248119;1666248119;"0";;"5.85000"
66;1;153;1;11138;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666248577;1666248753;1666248753;"0";;3.91667
67;1;155;1;11152;"1,2,3,4,5,6,7,8,0";"0";"0";inprogress;1666248722;"0";1666248722;"0";;
68;2;111;1;11153;"4,5,9,17,20,6,2,8,11,15,3,18,1,19,10,13,12,14,16,7,0";"0";"0";finished;1666248747;1666249115;1666249115;"0";;"13.90000"
69;1;158;1;11208;"1,2,3,4,5,6,7,8,0";"0";"0";inprogress;1666248961;"0";1666248961;"0";;
70;1;159;1;11210;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666248974;1666249152;1666249152;"0";;"2.75000"
71;1;161;1;11283;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666249209;1666249430;1666249430;"0";;"4.30000"
72;2;137;1;11291;"14,16,9,5,2,15,7,19,17,10,18,6,13,4,20,8,11,1,3,12,0";"0";"0";finished;1666249248;1666249520;1666249520;"0";;18.33333
73;1;162;1;11334;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666249326;1666249586;1666249586;"0";;5.83333
74;1;163;1;11399;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666249458;1666250473;1666250473;"0";;4.16667
75;2;153;1;11404;"16,4,17,2,13,1,15,12,6,3,20,10,5,19,14,11,7,9,18,8,0";"0";"0";finished;1666249533;1666249756;1666249756;"0";;"9.90000"
76;1;164;1;11440;"1,2,3,4,5,6,7,8,0";"0";"0";inprogress;1666249546;"0";1666249546;"0";;
77;1;166;1;11516;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666249679;1666249947;1666249947;"0";;"3.25000"
78;2;139;1;11550;"16,9,2,14,5,15,13,7,8,6,1,11,4,3,17,18,10,19,20,12,0";"0";"0";finished;1666249836;1666250077;1666250077;"0";;"13.85000"
79;1;168;1;11612;"1,2,3,4,5,6,7,8,0";"0";"0";inprogress;1666250040;"0";1666250040;"0";;
80;1;167;1;11623;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666250149;1666250383;1666250383;"0";;5.93333
81;2;166;1;11747;"13,12,18,19,6,10,14,3,5,16,20,15,17,11,9,8,4,1,7,2,0";"0";"0";finished;1666250528;1666250765;1666250765;"0";;8.91667
82;1;172;1;11794;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666250994;1666251703;1666251703;"0";;4.71667
83;1;173;1;11796;"1,2,3,4,5,6,7,8,0";"0";"0";inprogress;1666251022;"0";1666251022;"0";;
84;1;176;1;11848;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666251378;1666251626;1666251626;"0";;"5.50000"
85;1;182;1;11978;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666252106;1666252241;1666252241;"0";;3.58333
86;2;182;1;12076;"7,17,6,12,10,1,18,5,8,16,2,15,11,19,4,14,20,3,13,9,0";"0";"0";finished;1666252547;1666252746;1666252746;"0";;10.83333
87;1;189;1;12140;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666252791;1666253076;1666253076;"0";;3.83333
88;1;194;1;12146;"1,2,3,4,5,6,7,8,0";"0";"0";inprogress;1666253097;"0";1666253097;"0";;
89;1;192;1;12206;"1,2,3,4,5,6,7,8,0";"0";"0";finished;1666253185;1666253588;1666253588;"0";;"5.50000"
90;2;161;1;12214;"18,12,3,1,7,16,8,5,10,2,19,9,15,13,14,11,17,4,6,20,0";"0";"0";finished;1666253378;1666253808;1666253808;"0";;"14.35000"
